gridNum:616, nrmse:0.965
gridNum:558, nrmse:0.537
gridNum:611, nrmse:0.436
gridNum:628, nrmse:0.457
gridNum:595, nrmse:0.435
gridNum:615, nrmse:0.923
gridNum:584, nrmse:0.846
gridNum:555, nrmse:0.575
gridNum:619, nrmse:0.805
gridNum:617, nrmse:0.669
gridNum:587, nrmse:0.626
gridNum:625, nrmse:0.429
gridNum:618, nrmse:0.730
gridNum:629, nrmse:0.375
gridNum:622, nrmse:0.596
gridNum:621, nrmse:0.579
gridNum:473, nrmse:0.627
gridNum:564, nrmse:0.427
gridNum:626, nrmse:0.520
gridNum:612, nrmse:0.427
gridNum:627, nrmse:0.512
gridNum:624, nrmse:0.560
gridNum:563, nrmse:0.350
gridNum:623, nrmse:0.734
gridNum:620, nrmse:0.652
gridNum:637, nrmse:0.374
gridNum:638, nrmse:0.379
gridNum:586, nrmse:0.676
gridNum:630, nrmse:0.606
gridNum:639, nrmse:0.487
gridNum:649, nrmse:0.411
gridNum:633, nrmse:0.608
gridNum:636, nrmse:0.520
gridNum:641, nrmse:0.397
gridNum:648, nrmse:0.396
gridNum:634, nrmse:0.613
gridNum:654, nrmse:0.689
gridNum:642, nrmse:0.384
gridNum:635, nrmse:0.526
gridNum:640, nrmse:0.430
gridNum:651, nrmse:0.813
gridNum:658, nrmse:0.483
gridNum:647, nrmse:0.654
gridNum:646, nrmse:0.629
gridNum:655, nrmse:0.579
gridNum:659, nrmse:0.396
gridNum:652, nrmse:0.524
gridNum:650, nrmse:0.535
gridNum:644, nrmse:0.546
gridNum:653, nrmse:0.667
gridNum:667, nrmse:0.363
gridNum:668, nrmse:0.363
gridNum:571, nrmse:0.385
gridNum:677, nrmse:0.333
gridNum:674, nrmse:0.437
gridNum:645, nrmse:0.700
gridNum:657, nrmse:0.411
gridNum:660, nrmse:0.662
gridNum:662, nrmse:0.583
gridNum:672, nrmse:0.420
gridNum:669, nrmse:0.405
gridNum:606, nrmse:0.525
gridNum:670, nrmse:0.381
gridNum:663, nrmse:0.601
gridNum:679, nrmse:0.456
gridNum:664, nrmse:0.555
gridNum:579, nrmse:0.486
gridNum:673, nrmse:0.381
gridNum:678, nrmse:0.365
gridNum:643, nrmse:0.364
gridNum:684, nrmse:0.479
gridNum:676, nrmse:0.584
gridNum:681, nrmse:0.615
gridNum:683, nrmse:0.567
gridNum:671, nrmse:0.416
gridNum:685, nrmse:0.357
gridNum:699, nrmse:0.388
gridNum:691, nrmse:0.277
gridNum:680, nrmse:0.592
gridNum:702, nrmse:0.413
gridNum:686, nrmse:0.375
gridNum:690, nrmse:0.461
gridNum:693, nrmse:0.513
gridNum:689, nrmse:0.437
gridNum:675, nrmse:0.461
gridNum:701, nrmse:0.412
gridNum:697, nrmse:0.423
gridNum:696, nrmse:0.490
gridNum:661, nrmse:0.466
gridNum:698, nrmse:0.395
gridNum:705, nrmse:0.411
gridNum:704, nrmse:0.376
gridNum:703, nrmse:0.369
gridNum:706, nrmse:0.420
gridNum:692, nrmse:0.483
gridNum:710, nrmse:0.466
gridNum:709, nrmse:0.397
gridNum:700, nrmse:0.416
gridNum:708, nrmse:0.357
gridNum:712, nrmse:0.337
gridNum:682, nrmse:0.462
gridNum:723, nrmse:0.464
gridNum:718, nrmse:0.348
gridNum:572, nrmse:0.447
gridNum:721, nrmse:0.265
gridNum:726, nrmse:0.283
gridNum:714, nrmse:0.341
gridNum:724, nrmse:0.477
gridNum:716, nrmse:0.298
gridNum:666, nrmse:0.495
gridNum:576, nrmse:0.515
gridNum:687, nrmse:0.355
gridNum:738, nrmse:0.319
gridNum:727, nrmse:0.353
gridNum:713, nrmse:0.388
gridNum:602, nrmse:0.448
gridNum:601, nrmse:0.402
gridNum:740, nrmse:0.372
gridNum:733, nrmse:0.373
gridNum:715, nrmse:0.346
gridNum:728, nrmse:0.383
gridNum:719, nrmse:0.358
gridNum:656, nrmse:0.343
gridNum:734, nrmse:0.425
gridNum:730, nrmse:0.428
gridNum:729, nrmse:0.410
gridNum:694, nrmse:0.707
gridNum:744, nrmse:0.328
gridNum:573, nrmse:0.448
gridNum:749, nrmse:0.333
gridNum:743, nrmse:0.344
gridNum:752, nrmse:0.265
gridNum:631, nrmse:0.376
gridNum:688, nrmse:0.370
gridNum:746, nrmse:0.295
gridNum:745, nrmse:0.275
gridNum:750, nrmse:0.266
gridNum:754, nrmse:0.392
gridNum:720, nrmse:0.336
gridNum:742, nrmse:0.341
gridNum:751, nrmse:0.266
gridNum:755, nrmse:0.313
gridNum:717, nrmse:0.319
gridNum:739, nrmse:0.340
gridNum:758, nrmse:0.377
gridNum:761, nrmse:0.404
gridNum:760, nrmse:0.395
gridNum:762, nrmse:0.472
gridNum:757, nrmse:0.349
gridNum:725, nrmse:0.333
gridNum:722, nrmse:0.267
gridNum:753, nrmse:0.285
gridNum:759, nrmse:0.453
gridNum:747, nrmse:0.305
gridNum:731, nrmse:0.415
gridNum:748, nrmse:0.366
gridNum:764, nrmse:0.382
gridNum:774, nrmse:0.348
gridNum:771, nrmse:0.363
gridNum:735, nrmse:0.438
gridNum:782, nrmse:0.265
gridNum:772, nrmse:0.398
gridNum:768, nrmse:0.321
gridNum:775, nrmse:0.308
gridNum:756, nrmse:0.273
gridNum:779, nrmse:0.352
gridNum:784, nrmse:0.416
gridNum:769, nrmse:0.345
gridNum:785, nrmse:0.388
gridNum:763, nrmse:0.315
gridNum:711, nrmse:0.492
gridNum:787, nrmse:0.299
gridNum:770, nrmse:0.370
gridNum:773, nrmse:0.365
gridNum:792, nrmse:0.458
gridNum:781, nrmse:0.266
